,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
344,Yangi Marg`ilon,UZ,40.4272,71.7189,74.12,43,16,6.91,few clouds
345,Vaini,TO,-21.2,-175.2,73.94,63,84,14.32,broken clouds
346,Ust'-Kan,RU,50.9276,84.761,49.89,87,61,3.44,broken clouds
347,Lata,PT,40.1629,-8.3327,59.54,95,0,1.07,clear sky
348,Thompson,CA,55.7435,-97.8558,74.35,45,41,6.82,scattered clouds
349,Thompson,CA,55.7435,-97.8558,74.35,45,41,6.82,scattered clouds
350,Chokurdakh,RU,70.6333,147.9167,49.89,71,100,9.46,overcast clouds
351,Cape Town,ZA,-33.9258,18.4232,60.39,80,100,8.01,moderate rain
352,Kruisfontein,ZA,-34.0033,24.7314,55.89,92,100,5.1,overcast clouds
353,Albany,US,42.6001,-73.9662,80.67,52,71,10.85,broken clouds
354,San Andrés,CO,12.5847,-81.7006,81.48,86,100,17.25,overcast clouds
355,Lüderitz,NA,-26.6481,15.1594,55.56,87,42,7.34,scattered clouds
356,Thompson,CA,55.7435,-97.8558,74.35,45,41,6.82,scattered clouds
357,Adra,ES,36.7496,-3.0206,81.37,72,54,3.02,broken clouds
358,Qaanaaq,GL,77.484,-69.3632,38.93,72,96,6.87,overcast clouds
359,Hermanus,ZA,-34.4187,19.2345,58.8,72,100,14.18,light rain
360,Avera,US,33.194,-82.5271,78.85,54,99,7.52,overcast clouds
361,Hasaki,JP,35.7333,140.8333,84.6,80,27,22.5,scattered clouds
362,Rikitea,PF,-23.1203,-134.9692,73.2,70,70,20.15,broken clouds
363,Gushikawa,JP,26.3544,127.8686,83.43,94,99,4.61,light rain
364,Punta Arenas,CL,-53.15,-70.9167,35.11,69,85,7.47,overcast clouds
365,San Policarpo,PH,12.1791,125.5072,79.18,87,92,4.38,overcast clouds
366,Punta Arenas,CL,-53.15,-70.9167,35.11,69,85,7.47,overcast clouds
367,Narsaq,GL,60.9167,-46.05,50.22,84,12,3.15,few clouds
368,Yellowknife,CA,62.456,-114.3525,62.53,40,34,11.16,scattered clouds
369,Nantucket,US,41.2835,-70.0995,71.74,88,100,6.91,overcast clouds
370,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
371,Batagay,RU,67.6333,134.6333,57.45,69,78,6.71,broken clouds
372,Rikitea,PF,-23.1203,-134.9692,73.2,70,70,20.15,broken clouds
373,Tazovsky,RU,67.4667,78.7,51.37,67,100,12.55,overcast clouds
374,Mataura,NZ,-46.1927,168.8643,44.47,63,20,2.77,few clouds
375,Cape Town,ZA,-33.9258,18.4232,60.39,80,100,8.01,moderate rain
376,Punta Arenas,CL,-53.15,-70.9167,35.11,69,85,7.47,overcast clouds
377,Vaini,TO,-21.2,-175.2,73.94,63,84,14.32,broken clouds
378,Henties Bay,NA,-22.116,14.2845,53.4,91,1,6.64,clear sky
379,Saint-Philippe,RE,-21.3585,55.7679,63.99,74,30,11.92,scattered clouds
380,Dingle,PH,10.9995,122.6711,78.49,85,83,1.36,broken clouds
381,Vila Franca do Campo,PT,37.7167,-25.4333,73.81,88,53,7.43,broken clouds
382,Atuona,PF,-9.8,-139.0333,77.22,68,27,25.14,scattered clouds
383,San Andrés,CO,12.5847,-81.7006,81.48,86,100,17.25,overcast clouds
384,Butaritari,KI,3.0707,172.7902,82.06,76,96,13.44,overcast clouds
385,Monrovia,LR,6.3005,-10.7969,76.57,83,100,11.36,overcast clouds
386,Belen,TR,36.4891,36.2233,73.54,78,20,17.27,few clouds
387,Port Blair,IN,11.6667,92.75,81.19,80,100,15.03,overcast clouds
388,Qaanaaq,GL,77.484,-69.3632,38.93,72,96,6.87,overcast clouds
389,Kisangani,CD,0.5167,25.2,71.55,92,100,2.55,overcast clouds
390,Upernavik,GL,72.7868,-56.1549,42.04,83,100,11.05,overcast clouds
391,Punta Arenas,CL,-53.15,-70.9167,35.11,69,85,7.47,overcast clouds
392,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
393,San Patricio,US,28.017,-97.5169,95.09,66,100,12.97,overcast clouds
394,Kuril'sk,RU,45.2333,147.8833,65.68,96,100,8.03,overcast clouds
395,Umm Hājar,TD,13.2954,19.6966,72.84,80,100,20.96,moderate rain
396,Narsaq,GL,60.9167,-46.05,50.22,84,12,3.15,few clouds
397,Hermanus,ZA,-34.4187,19.2345,58.8,72,100,14.18,light rain
398,New Norfolk,AU,-42.7826,147.0587,46.92,86,98,1.19,light rain
399,Tura,IN,25.5198,90.2201,73.2,93,23,5.23,few clouds
400,Cayenne,GF,4.9333,-52.3333,83.08,1,0,4.61,clear sky
401,New Norfolk,AU,-42.7826,147.0587,46.92,86,98,1.19,light rain
402,Kiryat Gat,IL,31.61,34.7642,79.81,79,0,4.47,clear sky
403,Cape Town,ZA,-33.9258,18.4232,60.39,80,100,8.01,moderate rain
404,Rikitea,PF,-23.1203,-134.9692,73.2,70,70,20.15,broken clouds
405,Punta Arenas,CL,-53.15,-70.9167,35.11,69,85,7.47,overcast clouds
406,Concordia,AR,-31.393,-58.0209,54.79,83,7,1.99,clear sky
407,Balkanabat,TM,39.5108,54.3671,84.78,23,0,12.57,clear sky
408,Mount Gambier,AU,-37.8333,140.7667,48.11,93,100,8.05,light intensity drizzle
409,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
410,Cape Town,ZA,-33.9258,18.4232,60.39,80,100,8.01,moderate rain
411,Bethel,US,41.3712,-73.414,84.85,59,100,3.06,overcast clouds
412,Sumenep,ID,-7.0167,113.8667,79.59,83,57,9.44,broken clouds
413,Pitkyaranta,RU,61.5734,31.4792,61.84,87,100,9.91,overcast clouds
414,Mataura,NZ,-46.1927,168.8643,44.47,63,20,2.77,few clouds
415,Saskylakh,RU,71.9167,114.0833,44.1,67,100,7.16,overcast clouds
416,Bredasdorp,ZA,-34.5322,20.0403,53.1,86,100,3.98,overcast clouds
417,Zhigansk,RU,66.7697,123.3711,50.0,70,58,23.71,broken clouds
418,Barrow,US,71.2906,-156.7887,46.42,93,100,14.97,mist
419,San Francisco,US,37.7749,-122.4194,87.26,71,40,27.63,scattered clouds
420,Nueva Gerona,CU,21.8833,-82.8,84.99,61,38,5.01,scattered clouds
421,Wanning,CN,18.8003,110.3967,79.47,89,100,2.59,overcast clouds
422,Kaduqli,SD,11.0167,29.7167,70.47,97,100,3.56,light rain
423,Cherskiy,RU,68.75,161.3,58.42,61,97,11.27,overcast clouds
424,Natal,BR,-5.795,-35.2094,75.85,94,0,4.61,clear sky
425,Jamestown,US,42.097,-79.2353,74.71,43,0,5.01,clear sky
426,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
427,Saint Andrews,US,34.0454,-81.1293,86.32,74,100,17.27,mist
428,Kampong Chhnang,KH,12.1667,104.55,74.97,91,100,0.63,overcast clouds
429,Rikitea,PF,-23.1203,-134.9692,73.2,70,70,20.15,broken clouds
430,Ascension,US,30.2169,-90.9001,82.99,88,84,6.2,broken clouds
431,Barrow,US,71.2906,-156.7887,46.42,93,100,14.97,mist
432,Tasiilaq,GL,65.6145,-37.6368,32.16,86,23,0.69,few clouds
433,Ponta do Sol,PT,32.6667,-17.1,70.72,75,53,1.95,broken clouds
434,Cabo San Lucas,MX,22.8909,-109.9124,91.71,51,20,10.36,few clouds
435,Chokurdakh,RU,70.6333,147.9167,49.89,71,100,9.46,overcast clouds
436,Cabo San Lucas,MX,22.8909,-109.9124,91.71,51,20,10.36,few clouds
437,Adrar,MR,20.5022,-10.0711,93.85,30,1,8.25,clear sky
438,Butaritari,KI,3.0707,172.7902,82.06,76,96,13.44,overcast clouds
439,Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.4,85,100,11.12,overcast clouds
440,Sampang,ID,-7.1872,113.2394,79.41,82,82,2.46,broken clouds
441,Hilo,US,19.7297,-155.09,92.28,83,87,5.01,overcast clouds
442,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
443,Dicabisagan,PH,17.0818,122.4157,79.56,85,91,3.51,overcast clouds
444,Airai,TL,-8.9266,125.4092,60.4,89,52,3.44,broken clouds
445,George Town,MY,5.4112,100.3354,81.9,86,20,2.3,few clouds
446,Batagay,RU,67.6333,134.6333,57.45,69,78,6.71,broken clouds
447,Jamestown,US,42.097,-79.2353,74.71,43,0,5.01,clear sky
448,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
449,Port Alfred,ZA,-33.5906,26.891,63.27,78,94,5.35,overcast clouds
450,Mataura,NZ,-46.1927,168.8643,44.47,63,20,2.77,few clouds
451,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,13.8,scattered clouds
452,Thompson,CA,55.7435,-97.8558,74.35,45,41,6.82,scattered clouds
453,Butaritari,KI,3.0707,172.7902,82.06,76,96,13.44,overcast clouds
454,Busselton,AU,-33.65,115.3333,49.69,87,2,12.06,clear sky
455,Junín,AR,-34.5838,-60.9433,48.88,68,0,8.12,clear sky
456,Hobart,AU,-42.8794,147.3294,47.26,89,20,4.61,light rain
457,Mataura,NZ,-46.1927,168.8643,44.47,63,20,2.77,few clouds
458,San Patricio,US,28.017,-97.5169,95.09,66,100,12.97,overcast clouds
459,Sassandra,CI,4.95,-6.0833,74.25,86,85,7.76,overcast clouds
460,Atuona,PF,-9.8,-139.0333,77.22,68,27,25.14,scattered clouds
461,Sitka,US,57.0531,-135.33,67.89,68,75,3.44,broken clouds
462,Kaitangata,NZ,-46.2817,169.8464,41.74,68,20,6.69,few clouds
463,Saint-Leu,RE,-21.15,55.2833,66.31,67,66,2.06,broken clouds
464,Hokitika,NZ,-42.7167,170.9667,47.12,53,6,1.7,clear sky
465,Molfetta,IT,41.2002,16.5975,77.68,60,0,3.44,clear sky
466,Vaini,TO,-21.2,-175.2,73.94,63,84,14.32,broken clouds
467,Gombe,NG,10.2897,11.1673,69.48,91,99,7.18,overcast clouds
468,Albany,US,42.6001,-73.9662,80.67,52,71,10.85,broken clouds
469,Manama,BH,26.2154,50.5832,96.98,61,9,2.3,clear sky
470,Mount Isa,AU,-20.7333,139.5,65.97,34,88,6.91,overcast clouds
471,Busselton,AU,-33.65,115.3333,49.69,87,2,12.06,clear sky
472,Baruun-Urt,MN,46.6806,113.2792,60.08,71,99,8.16,overcast clouds
473,Severo-Kuril'sk,RU,50.6789,156.125,56.44,96,98,13.24,overcast clouds
474,Pobé,BJ,6.9801,2.6649,72.45,86,100,3.85,overcast clouds
475,Kavieng,PG,-2.5744,150.7967,81.77,77,97,9.84,light rain
476,São João da Barra,BR,-21.6403,-41.0511,67.78,72,85,27.11,overcast clouds
477,Havre-St-Pierre,CA,50.2334,-63.5986,62.04,94,85,6.87,overcast clouds
478,Selma,US,36.5708,-119.6121,101.34,24,0,6.91,clear sky
479,Puerto Carreño,CO,6.189,-67.4859,82.38,78,40,11.5,thunderstorm
480,Carnarvon,AU,-24.8667,113.6333,58.01,34,0,16.53,clear sky
481,San Miguel de Cozumel,MX,20.5083,-86.9458,87.87,81,40,8.01,scattered clouds
482,Hithadhoo,MV,-0.6,73.0833,81.63,74,4,7.61,moderate rain
483,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
484,Jamestown,US,42.097,-79.2353,74.71,43,0,5.01,clear sky
485,Forestville,US,38.8451,-76.875,87.31,54,0,10.36,clear sky
486,Cherskiy,RU,68.75,161.3,58.42,61,97,11.27,overcast clouds
487,Provideniya,RU,64.3833,-173.3,50.36,93,100,8.99,overcast clouds
488,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
489,Mataura,NZ,-46.1927,168.8643,44.47,63,20,2.77,few clouds
490,Kapaa,US,22.0752,-159.319,85.98,70,69,5.01,broken clouds
491,Sechura,PE,-5.5569,-80.8222,69.33,66,74,16.62,broken clouds
492,Punta Arenas,CL,-53.15,-70.9167,35.11,69,85,7.47,overcast clouds
493,George Town,MY,5.4112,100.3354,81.9,86,20,2.3,few clouds
494,Castro,BR,-24.7911,-50.0119,46.35,87,0,4.85,clear sky
495,Mataura,NZ,-46.1927,168.8643,44.47,63,20,2.77,few clouds
496,Karratha,AU,-20.7377,116.8463,63.1,24,13,19.69,few clouds
497,Port Alfred,ZA,-33.5906,26.891,63.27,78,94,5.35,overcast clouds
498,Longyearbyen,SJ,78.2186,15.6401,44.44,81,100,9.22,overcast clouds
499,Stantsionno-Oyashinskiy,RU,55.4664,83.8245,54.34,87,17,6.89,few clouds
500,Punta Arenas,CL,-53.15,-70.9167,35.11,69,85,7.47,overcast clouds
501,Avarua,CK,-21.2078,-159.775,78.85,73,75,13.8,broken clouds
502,Punta Arenas,CL,-53.15,-70.9167,35.11,69,85,7.47,overcast clouds
503,Ancud,CL,-41.8697,-73.8203,48.72,93,100,14.94,moderate rain
504,Bilibino,RU,68.0546,166.4372,64.18,65,100,4.83,light rain
505,Hamilton,US,39.1834,-84.5333,81.84,66,0,4.61,clear sky
506,Klaksvík,FO,62.2266,-6.589,52.72,86,100,12.1,overcast clouds
507,Dikson,RU,73.5069,80.5464,43.79,92,100,18.81,overcast clouds
508,Punta Arenas,CL,-53.15,-70.9167,35.11,69,85,7.47,overcast clouds
509,Saint-Philippe,RE,-21.3585,55.7679,63.99,74,30,11.92,scattered clouds
510,Udachny,RU,66.4167,112.4,48.45,93,100,19.82,light rain
511,Hermanus,ZA,-34.4187,19.2345,58.8,72,100,14.18,light rain
512,Vaini,TO,-21.2,-175.2,73.94,63,84,14.32,broken clouds
513,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
514,Albany,US,42.6001,-73.9662,80.67,52,71,10.85,broken clouds
515,Laas,IT,46.6166,10.7002,60.75,89,90,1.79,overcast clouds
516,La Ronge,CA,55.1001,-105.2842,83.77,33,81,10.56,broken clouds
517,Barrow,US,71.2906,-156.7887,46.42,93,100,14.97,mist
518,Yellowknife,CA,62.456,-114.3525,62.53,40,34,11.16,scattered clouds
519,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
520,Luena,AO,-11.7833,19.9167,57.47,26,16,5.06,few clouds
521,Busselton,AU,-33.65,115.3333,49.69,87,2,12.06,clear sky
522,Mar del Plata,AR,-38.0023,-57.5575,49.62,76,0,9.57,clear sky
523,Kavieng,PG,-2.5744,150.7967,81.77,77,97,9.84,light rain
524,Inírida,CO,3.8653,-67.9239,75.11,94,95,1.34,overcast clouds
525,Avarua,CK,-21.2078,-159.775,78.85,73,75,13.8,broken clouds
526,Provideniya,RU,64.3833,-173.3,50.36,93,100,8.99,overcast clouds
527,Taoudenni,ML,22.6783,-3.9836,100.72,10,0,2.33,clear sky
528,Guerrero Negro,MX,27.9769,-114.0611,80.85,52,2,16.91,clear sky
529,Saskylakh,RU,71.9167,114.0833,44.1,67,100,7.16,overcast clouds
530,Kruisfontein,ZA,-34.0033,24.7314,55.89,92,100,5.1,overcast clouds
531,Esperance,AU,-33.8667,121.9,53.49,67,87,7.52,overcast clouds
532,Khatanga,RU,71.9667,102.5,44.78,72,100,7.49,overcast clouds
533,Faanui,PF,-16.4833,-151.75,78.4,75,10,14.52,clear sky
534,Marsh Harbour,BS,26.5412,-77.0636,82.85,69,0,11.54,clear sky
535,Souillac,MU,-20.5167,57.5167,66.52,84,68,15.52,light rain
536,Saint Paul Harbor,US,57.79,-152.4072,56.71,94,100,5.75,overcast clouds
537,Kano,NG,12.0001,8.5167,72.63,83,93,8.79,overcast clouds
538,Cabo San Lucas,MX,22.8909,-109.9124,91.71,51,20,10.36,few clouds
539,Xinpu,CN,34.5997,119.1594,82.33,91,91,3.27,overcast clouds
540,Busselton,AU,-33.65,115.3333,49.69,87,2,12.06,clear sky
541,Saint Paul Harbor,US,57.79,-152.4072,56.71,94,100,5.75,overcast clouds
542,Saint-Philippe,RE,-21.3585,55.7679,63.99,74,30,11.92,scattered clouds
543,Puerto Ayora,EC,-0.7393,-90.3518,68.56,99,100,5.01,overcast clouds
544,Jamestown,US,42.097,-79.2353,74.71,43,0,5.01,clear sky
545,Lázaro Cárdenas,MX,17.9583,-102.2,84.24,70,100,4.41,overcast clouds
546,Atuona,PF,-9.8,-139.0333,77.22,68,27,25.14,scattered clouds
547,Rikitea,PF,-23.1203,-134.9692,73.2,70,70,20.15,broken clouds
548,Khanbari,NP,27.3747,87.2039,70.68,88,35,3.11,scattered clouds
549,Cape Town,ZA,-33.9258,18.4232,60.39,80,100,8.01,moderate rain
550,Upernavik,GL,72.7868,-56.1549,42.04,83,100,11.05,overcast clouds
551,Vaini,TO,-21.2,-175.2,73.94,63,84,14.32,broken clouds
552,Khatanga,RU,71.9667,102.5,44.78,72,100,7.49,overcast clouds
553,Kirakira,SB,-10.4544,161.9205,81.59,79,96,7.94,heavy intensity rain
554,Sitka,US,57.0531,-135.33,67.89,68,75,3.44,broken clouds
555,Puerto Ayora,EC,-0.7393,-90.3518,68.56,99,100,5.01,overcast clouds
556,Busselton,AU,-33.65,115.3333,49.69,87,2,12.06,clear sky
557,Alofi,NU,-19.0595,-169.9187,78.15,73,44,15.43,scattered clouds
558,Arraial do Cabo,BR,-22.9661,-42.0278,68.29,74,39,19.75,scattered clouds
559,Punta Arenas,CL,-53.15,-70.9167,35.11,69,85,7.47,overcast clouds
560,Alacranes,CU,22.7675,-81.5675,84.69,75,88,13.47,overcast clouds
561,San Felipe,VE,10.3399,-68.7425,77.99,77,42,2.64,scattered clouds
562,Salalah,OM,17.0151,54.0924,77.09,100,100,4.61,light intensity drizzle
563,Korla,CN,41.7597,86.1469,83.79,31,65,15.26,broken clouds
564,Te Anau,NZ,-45.4167,167.7167,39.96,76,21,0.96,few clouds
565,Swan River,CA,52.1058,-101.2676,78.67,43,100,10.69,overcast clouds
566,Busselton,AU,-33.65,115.3333,49.69,87,2,12.06,clear sky
567,Puerto Ayora,EC,-0.7393,-90.3518,68.56,99,100,5.01,overcast clouds
568,Cape Town,ZA,-33.9258,18.4232,60.39,80,100,8.01,moderate rain
569,Touros,BR,-5.1989,-35.4608,75.69,83,19,10.09,few clouds
570,Esperance,AU,-33.8667,121.9,53.49,67,87,7.52,overcast clouds
571,Asău,RO,46.4333,26.4,61.72,73,24,5.21,light rain
572,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
573,Bambous Virieux,MU,-20.3428,57.7575,68.22,78,94,16.71,light rain
574,Namatanai,PG,-3.6667,152.4333,82.04,75,100,8.01,light rain
575,Vostok,RU,46.4856,135.8833,62.38,88,71,2.82,broken clouds
576,Puerto Ayora,EC,-0.7393,-90.3518,68.56,99,100,5.01,overcast clouds
577,Hanyang,CN,32.1371,105.5126,76.53,86,92,3.0,overcast clouds
578,Avarua,CK,-21.2078,-159.775,78.85,73,75,13.8,broken clouds
579,Rikitea,PF,-23.1203,-134.9692,73.2,70,70,20.15,broken clouds
580,Lexington,US,37.9887,-84.4777,84.69,56,40,8.05,scattered clouds
581,Lagoa,PT,39.05,-27.9833,73.13,84,91,13.47,light rain
582,Rikitea,PF,-23.1203,-134.9692,73.2,70,70,20.15,broken clouds
583,Laguna,US,38.421,-121.4238,98.35,23,0,5.75,clear sky
584,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,79,100,13.24,overcast clouds
585,Qaanaaq,GL,77.484,-69.3632,38.93,72,96,6.87,overcast clouds
586,Bethel,US,41.3712,-73.414,84.85,59,100,3.06,overcast clouds
587,Cherskiy,RU,68.75,161.3,58.42,61,97,11.27,overcast clouds
588,Arraial do Cabo,BR,-22.9661,-42.0278,68.29,74,39,19.75,scattered clouds
589,Wewak,PG,-3.5534,143.6268,76.8,89,93,4.56,overcast clouds
590,Elblag,PL,54.1522,19.4088,64.98,75,1,6.24,clear sky
591,Albany,US,42.6001,-73.9662,80.67,52,71,10.85,broken clouds
592,Olinda,BR,-8.0089,-34.8553,78.53,73,0,5.75,clear sky
593,Atuona,PF,-9.8,-139.0333,77.22,68,27,25.14,scattered clouds
594,Barrow,US,71.2906,-156.7887,46.42,93,100,14.97,mist
595,Busselton,AU,-33.65,115.3333,49.69,87,2,12.06,clear sky
596,Kiryat Gat,IL,31.61,34.7642,79.81,79,0,4.47,clear sky
597,Qaanaaq,GL,77.484,-69.3632,38.93,72,96,6.87,overcast clouds
598,Punta Arenas,CL,-53.15,-70.9167,35.11,69,85,7.47,overcast clouds
599,Lorengau,PG,-2.0226,147.2712,81.45,80,79,5.86,broken clouds
600,Imbituba,BR,-28.24,-48.6703,59.09,99,70,1.1,broken clouds
601,Tuatapere,NZ,-46.1333,167.6833,44.44,61,9,3.06,clear sky
602,Saint Paul Harbor,US,57.79,-152.4072,56.71,94,100,5.75,overcast clouds
603,Maniitsoq,GL,65.4167,-52.9,43.14,85,99,7.07,overcast clouds
604,Fort Nelson,CA,58.8053,-122.7002,69.49,50,77,4.76,broken clouds
605,Praia da Vitória,PT,38.7333,-27.0667,71.76,92,99,13.58,overcast clouds
606,Hilo,US,19.7297,-155.09,92.28,83,87,5.01,overcast clouds
607,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
608,Salekhard,RU,66.53,66.6019,55.36,93,100,11.25,overcast clouds
609,Thompson,CA,55.7435,-97.8558,74.35,45,41,6.82,scattered clouds
610,Anloga,GH,5.7947,0.8973,74.08,89,100,13.62,overcast clouds
611,Rikitea,PF,-23.1203,-134.9692,73.2,70,70,20.15,broken clouds
612,Rikitea,PF,-23.1203,-134.9692,73.2,70,70,20.15,broken clouds
613,Rikitea,PF,-23.1203,-134.9692,73.2,70,70,20.15,broken clouds
614,Nikolskoye,RU,59.7035,30.7861,66.09,78,100,6.08,overcast clouds
615,Malbork,PL,54.0359,19.0266,63.88,69,0,4.36,clear sky
616,Rock Sound,BS,24.9,-76.2,82.11,73,0,15.19,clear sky
617,Corinth,GR,37.9407,22.9573,75.88,50,3,2.48,clear sky
618,Peshkopi,AL,41.685,20.4289,61.56,75,85,5.48,overcast clouds
619,Cherskiy,RU,68.75,161.3,58.42,61,97,11.27,overcast clouds
620,Kita,ML,13.0349,-9.4895,74.53,95,100,4.21,moderate rain
621,Ürümqi,CN,43.801,87.6005,72.55,64,24,2.24,few clouds
622,Hilo,US,19.7297,-155.09,92.28,83,87,5.01,overcast clouds
623,Dobrljin,BA,45.1533,16.4775,60.62,52,77,1.9,broken clouds
624,Bequimão,BR,-2.4489,-44.7825,75.18,87,49,5.12,scattered clouds
625,Vestmanna,FO,62.1564,-7.1664,50.92,93,100,5.75,overcast clouds
626,Mataura,NZ,-46.1927,168.8643,44.47,63,20,2.77,few clouds
627,Klaksvík,FO,62.2266,-6.589,52.72,86,100,12.1,overcast clouds
628,Bom Jesus,BR,-9.0744,-44.3586,79.9,24,0,2.53,clear sky
629,Tianpeng,CN,30.9866,103.9393,77.13,77,83,3.89,broken clouds
630,Abéché,TD,13.8292,20.8324,72.41,85,100,16.89,moderate rain
631,Cayenne,GF,4.9333,-52.3333,83.08,1,0,4.61,clear sky
632,Bethel,US,41.3712,-73.414,84.85,59,100,3.06,overcast clouds
633,George Town,MY,5.4112,100.3354,81.9,86,20,2.3,few clouds
634,Kavaratti,IN,10.5669,72.642,80.91,83,39,20.67,scattered clouds
635,Abu Kamal,SY,34.4506,40.9171,86.7,41,0,12.88,clear sky
636,Upernavik,GL,72.7868,-56.1549,42.04,83,100,11.05,overcast clouds
637,Aklavik,CA,68.2191,-135.0107,68.88,35,23,9.82,few clouds
638,Mar del Plata,AR,-38.0023,-57.5575,49.62,76,0,9.57,clear sky
639,Westport,US,41.1415,-73.3579,86.49,62,100,4.0,overcast clouds
640,East London,ZA,-33.0153,27.9116,63.37,66,80,4.38,broken clouds
641,Khor,RU,47.8861,134.9464,63.19,87,83,4.76,broken clouds
642,Rikitea,PF,-23.1203,-134.9692,73.2,70,70,20.15,broken clouds
643,Albany,US,42.6001,-73.9662,80.67,52,71,10.85,broken clouds
644,Alexandria,EG,31.2156,29.9553,78.69,65,0,5.44,clear sky
645,Busselton,AU,-33.65,115.3333,49.69,87,2,12.06,clear sky
646,Santiago del Estero,AR,-27.7951,-64.2615,64.51,35,100,7.2,overcast clouds
647,Haines Junction,CA,60.7522,-137.5108,60.19,75,100,4.16,overcast clouds
648,Cidreira,BR,-30.1811,-50.2056,59.34,86,1,9.66,clear sky
649,Cape Town,ZA,-33.9258,18.4232,60.39,80,100,8.01,moderate rain
650,Albany,US,42.6001,-73.9662,80.67,52,71,10.85,broken clouds
651,Hithadhoo,MV,-0.6,73.0833,81.63,74,4,7.61,moderate rain
652,Itaituba,BR,-4.2761,-55.9836,83.5,41,94,1.21,overcast clouds
653,Kruisfontein,ZA,-34.0033,24.7314,55.89,92,100,5.1,overcast clouds
654,Punta Arenas,CL,-53.15,-70.9167,35.11,69,85,7.47,overcast clouds
655,Atuona,PF,-9.8,-139.0333,77.22,68,27,25.14,scattered clouds
656,Tasiilaq,GL,65.6145,-37.6368,32.16,86,23,0.69,few clouds
657,Hong Kong,HK,22.2855,114.1577,82.33,92,100,5.01,overcast clouds
658,Benghazi,LY,32.1167,20.0667,80.64,71,0,7.87,clear sky
659,Saint-Philippe,RE,-21.3585,55.7679,63.99,74,30,11.92,scattered clouds
660,Riyadh,SA,24.6877,46.7219,93.67,19,16,13.4,few clouds
661,Khorramshahr,IR,30.4397,48.1664,93.16,31,0,6.91,clear sky
662,Tasiilaq,GL,65.6145,-37.6368,32.16,86,23,0.69,few clouds
663,Cherskiy,RU,68.75,161.3,58.42,61,97,11.27,overcast clouds
664,Davidson,US,36.1501,-86.7833,86.02,63,40,13.8,scattered clouds
665,Castro,BR,-24.7911,-50.0119,46.35,87,0,4.85,clear sky
666,Lebu,CL,-37.6167,-73.65,49.17,92,88,4.54,overcast clouds
667,Umluj,SA,25.0213,37.2685,89.22,63,100,8.59,overcast clouds
668,Cape Town,ZA,-33.9258,18.4232,60.39,80,100,8.01,moderate rain
669,Hilo,US,19.7297,-155.09,92.28,83,87,5.01,overcast clouds
670,Albany,US,42.6001,-73.9662,80.67,52,71,10.85,broken clouds
671,Saint-Philippe,RE,-21.3585,55.7679,63.99,74,30,11.92,scattered clouds
672,Iwanai,JP,42.9744,140.5089,76.19,90,85,2.62,overcast clouds
673,Ushuaia,AR,-54.8,-68.3,33.06,93,94,3.65,overcast clouds
674,Annau,TM,37.8876,58.516,81.3,25,0,4.25,clear sky
675,Noumea,NC,-22.2763,166.4572,73.0,99,46,15.23,scattered clouds
676,Lüderitz,NA,-26.6481,15.1594,55.56,87,42,7.34,scattered clouds
677,Muhafazat Lahij,YE,13.1667,44.5833,85.21,60,96,1.63,overcast clouds
678,Punta Arenas,CL,-53.15,-70.9167,35.11,69,85,7.47,overcast clouds
679,Atuona,PF,-9.8,-139.0333,77.22,68,27,25.14,scattered clouds
680,Salalah,OM,17.0151,54.0924,77.09,100,100,4.61,light intensity drizzle
681,Mount Isa,AU,-20.7333,139.5,65.97,34,88,6.91,overcast clouds
682,Puerto Ayora,EC,-0.7393,-90.3518,68.56,99,100,5.01,overcast clouds
683,Torbay,CA,47.6666,-52.7314,58.75,94,100,8.05,light intensity drizzle
684,Saint-Philippe,RE,-21.3585,55.7679,63.99,74,30,11.92,scattered clouds
685,Lebu,CL,-37.6167,-73.65,49.17,92,88,4.54,overcast clouds
686,Aklavik,CA,68.2191,-135.0107,68.88,35,23,9.82,few clouds
687,Bandarbeyla,SO,9.4942,50.8122,76.62,77,100,26.96,overcast clouds
688,Ribeira Grande,PT,38.5167,-28.7,74.64,79,84,9.51,broken clouds
689,Flin Flon,CA,54.7682,-101.865,84.29,35,40,12.39,scattered clouds
690,East London,ZA,-33.0153,27.9116,63.37,66,80,4.38,broken clouds
