,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,George Town,MY,5.4112,100.3354,81.9,86,20,2.3,few clouds
331,Busselton,AU,-33.65,115.3333,49.69,87,2,12.06,clear sky
332,Saskylakh,RU,71.9167,114.0833,44.1,67,100,7.16,overcast clouds
333,Ulladulla,AU,-35.35,150.4667,57.22,71,100,4.56,overcast clouds
334,Baft,IR,29.234,56.6057,69.1,28,4,5.57,clear sky
335,Rikitea,PF,-23.1203,-134.9692,73.2,70,70,20.15,broken clouds
336,Tateyama,JP,34.9833,139.8667,84.09,82,95,18.88,overcast clouds
337,Cedar City,US,37.6775,-113.0619,63.57,82,100,3.44,thunderstorm with light rain
338,Ancud,CL,-41.8697,-73.8203,48.72,93,100,14.94,moderate rain
339,Aksarayskiy,RU,46.7924,48.0119,76.84,35,7,8.08,clear sky
340,Constitución,CL,-35.3333,-72.4167,48.61,82,0,2.8,clear sky
341,Severo-Kuril'sk,RU,50.6789,156.125,56.44,96,98,13.24,overcast clouds
342,Mataura,NZ,-46.1927,168.8643,44.47,63,20,2.77,few clouds
343,Vangaindrano,MG,-23.35,47.6,65.14,87,84,4.54,light rain
